RecordingTime [ms]	Time of Day [h:m:s:ms]	Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category Right	Index Right	Pupil Diameter Right [mm]	Point of Regard Right X [px]	Point of Regard Right Y [px]	AOI Name Right	Gaze Vector Right X	Gaze Vector Right Y	Gaze Vector Right Z	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
8764152.6	12:49:35:016	Trial001	Noun_Practice.avi	0	303.4	OH102	CornflowerBlue	0	Information	Separator	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2354dfda85ca9d68801ebf295ba182ef.avi
8764154.8	12:49:35:018	Trial001	Noun_Practice.avi	0	303.4	OH102	CornflowerBlue	0	Eye	-	-	3.2	0	0	-	0	0	0	-	-	-	-	-	-	-	-
8764163.2	12:49:35:027	Trial001	Noun_Practice.avi	0	303.4	OH102	CornflowerBlue	0	Eye	-	-	3.2	0	0	-	0	0	0	-	-	-	-	-	-	-	-
8764171.5	12:49:35:035	Trial001	Noun_Practice.avi	0	303.4	OH102	CornflowerBlue	0	Eye	-	-	3.2	0	0	-	0	0	0	-	-	-	-	-	-	-	-
8764179.8	12:49:35:043	Trial001	Noun_Practice.avi	0	303.4	OH102	CornflowerBlue	0	Eye	-	-	3.2	0	0	-	0	0	0	-	-	-	-	-	-	-	-
8764188.2	12:49:35:052	Trial001	Noun_Practice.avi	0	303.4	OH102	CornflowerBlue	0	Eye	-	-	3.2	0	0	-	0	0	0	-	-	-	-	-	-	-	-
8764196.6	12:49:35:060	Trial001	Noun_Practice.avi	0	303.4	OH102	CornflowerBlue	0	Eye	-	-	3.2	0	0	-	0	0	0	-	-	-	-	-	-	-	-
8764205	12:49:35:068	Trial001	Noun_Practice.avi	0	303.4	OH102	CornflowerBlue	0	Eye	-	-	3.2	0	0	-	0	0	0	-	-	-	-	-	-	-	-
8764213.2	12:49:35:077	Trial001	Noun_Practice.avi	0	303.4	OH102	CornflowerBlue	0	Eye	-	-	3.2	0	0	-	0	0	0	-	-	-	-	-	-	-	-
8764221.6	12:49:35:085	Trial001	Noun_Practice.avi	0	303.4	OH102	CornflowerBlue	0	Eye	-	-	3.2	0	0	-	0	0	0	-	-	-	-	-	-	-	-
8764230.3	12:49:35:094	Trial001	Noun_Practice.avi	0	303.4	OH102	CornflowerBlue	0	Eye	-	-	3.2	0	0	-	0	0	0	-	-	-	-	-	-	-	-
8764917.6	12:49:35:781	Trial002	Noun_Practice.avi	0	222.2	OH102	CornflowerBlue	90	Information	Separator	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2354dfda85ca9d68801ebf295ba182ef.avi
8764919.2	12:49:35:783	Trial002	Noun_Practice.avi	0	222.2	OH102	CornflowerBlue	90	Eye	Fixation	1	3.9	813	465.4	-	0	0.4	-0.9	-	-	-	-	-	-	-	-
8764935.8	12:49:35:799	Trial002	Noun_Practice.avi	0	222.2	OH102	CornflowerBlue	90	Eye	Fixation	1	3.9	812.1	463.1	-	0	0.4	-0.9	-	-	-	-	-	-	-	-
