RecordingTime [ms]	Time of Day [h:m:s:ms]	Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category Right	Index Right	Pupil Diameter Right [mm]	Point of Regard Right X [px]	Point of Regard Right Y [px]	AOI Name Right	Gaze Vector Right X	Gaze Vector Right Y	Gaze Vector Right Z	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
8764154.8	12:49:35:018	Trial001	Noun_Practice.avi	0	303.4	OH102	CornflowerBlue	0	Eye	-	-	3.2	0	0	-	0	0	0	-	-	-	-	-	-	-	-
8764168.1	12:49:35:031	Trial001	Noun_Practice.avi	0	303.4	OH102	CornflowerBlue	0	Eye	-	-	3.2	0.0	0.0	-	0.0	0.0	0.0	-	-	-	-	-	-	-	-
8764181.5	12:49:35:044	Trial001	Noun_Practice.avi	0	303.4	OH102	CornflowerBlue	0	Eye	-	-	3.2	0.0	0.0	-	0.0	0.0	0.0	-	-	-	-	-	-	-	-
8764194.8	12:49:35:058	Trial001	Noun_Practice.avi	0	303.4	OH102	CornflowerBlue	0	Eye	-	-	3.2	0.0	0.0	-	0.0	0.0	0.0	-	-	-	-	-	-	-	-
8764208.1	12:49:35:071	Trial001	Noun_Practice.avi	0	303.4	OH102	CornflowerBlue	0	Eye	-	-	3.2	0.0	0.0	-	0.0	0.0	0.0	-	-	-	-	-	-	-	-
8764221.5	12:49:35:085	Trial001	Noun_Practice.avi	0	303.4	OH102	CornflowerBlue	0	Eye	-	-	3.2	0.0	0.0	-	0.0	0.0	0.0	-	-	-	-	-	-	-	-
8764234.8	12:49:35:098	Trial001	Noun_Practice.avi	0	303.4	OH102	CornflowerBlue	0	Eye	-	-	3.2	0.0	0.0	-	0.0	0.0	0.0	-	-	-	-	-	-	-	-
8764919.2	12:49:35:783	Trial002	Noun_Practice.avi	0	222.2	OH102	CornflowerBlue	90	Eye	Fixation	1	3.9	813	465.4	-	0	0.4	-0.9	-	-	-	-	-	-	-	-
8764932.5	12:49:35:796	Trial002	Noun_Practice.avi	0	222.2	OH102	CornflowerBlue	90	Eye	Fixation	1	3.9	812.2771084337662	463.55261044184687	-	0.0	0.4	-0.9	-	-	-	-	-	-	-	-
8764945.9	12:49:35:809	Trial002	Noun_Practice.avi	0	222.2	OH102	CornflowerBlue	90	Eye	Fixation	1	3.9	813.3523809523602	462.37229437229814	-	0.0	0.4	-0.9	-	-	-	-	-	-	-	-
8764959.2	12:49:35:822	Trial002	Noun_Practice.avi	0	222.2	OH102	CornflowerBlue	90	Eye	Fixation	1	3.9	813.1176470586263	461.33294117632596	-	0.0	0.4	-0.9	-	-	-	-	-	-	-	-
8764972.5	12:49:35:836	Trial002	Noun_Practice.avi	0	222.2	OH102	CornflowerBlue	90	Eye	Fixation	1	3.8605691056753595	812.4971544716232	461.23943089432464	-	0.0	0.4	-0.9	-	-	-	-	-	-	-	-
