ExportDate	StudioVersionRec	StudioProjectName	StudioTestName	ParticipantName	[Gender]Value	RecordingName	RecordingDate	RecordingDuration	RecordingResolution	FixationFilter	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	MediaWidth	MediaHeight	SegmentName	SegmentStart	SegmentEnd	SegmentDuration	SceneName	SceneSegmentStart	SceneSegmentEnd	SceneSegmentDuration	RecordingTimestamp	LocalTimeStamp	EyeTrackerTimestamp	MouseEventIndex	MouseEvent	MouseEventX (ADCSpx)	MouseEventY (ADCSpx)	MouseEventX (MCSpx)	MouseEventY (MCSpx)	KeyPressEventIndex	KeyPressEvent	StudioEventIndex	StudioEvent	StudioEventData	ExternalEventIndex	ExternalEvent	ExternalEventValue	EventMarkerValue	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	AOI[1]Hit	AOI[2]Hit	AOI[3]Hit	AOI[4]Hit	AOI[ 5]Hit	AOI[ 6]Hit	GazePointIndex	GazePointLeftX (ADCSpx)	GazePointLeftY (ADCSpx)	GazePointRightX (ADCSpx)	GazePointRightY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)	GazePointLeftX (ADCSmm)	GazePointLeftY (ADCSmm)	GazePointRightX (ADCSmm)	GazePointRightY (ADCSmm)	StrictAverageGazePointX (ADCSmm)	StrictAverageGazePointY (ADCSmm)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	EyePosLeftZ (ADCSmm)	EyePosRightX (ADCSmm)	EyePosRightY (ADCSmm)	EyePosRightZ (ADCSmm)	CamLeftX	CamLeftY	CamRightX	CamRightY	DistanceLeft	DistanceRight	PupilLeft	PupilRight	ValidityLeft	ValidityRight	IRMarkerCount	IRMarkerID	PupilGlassesRight	
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter														0	11:16:27.654	1167615520979548																		Unclassified	16									1	582	893	586	779	584	836			73.46	23.65	73.89	38.03	73.68	30.84	152.54	252.47	558.89	209.03	253.42	553.02					603.23	603.23	3.72	3.80	0	0				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter														33	11:16:27.687	1167615521012442																1		Fixation	155									2	588	894	652	787	620	840			74.14	23.48	82.26	36.97	78.20	30.23	152.92	252.57	559.08	209.36	253.37	553.11					603.46	603.46	3.75	4.01	0	0				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter														75	11:16:27.728	1167615521053936																1		Fixation	155									3	609	906	678	787	643	846			76.81	22.01	85.54	36.94	81.17	29.48	153.30	252.70	559.21	209.75	253.39	553.34					603.66	603.66	3.76	3.86	0	0				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter														111	11:16:27.765	1167615521090305																1		Fixation	155									4	648	909	666	721	657	815			81.78	21.55	83.99	45.35	82.88	33.45	153.61	252.74	559.31	210.08	253.43	553.70					603.78	603.78	3.79	4.03	0	0				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter														153	11:16:27.807	1167615521132397																1		Fixation	155									5	621	912	612	738	616	825			78.37	21.20	77.22	43.16	77.80	32.18	153.92	252.81	559.53	210.44	253.55	554.15					604.03	604.03	3.77	4.07	0	0				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter														190	11:16:27.844	1167615521169307																	1	Saccade	37									6	1055	784	1073	675	1064	729			133.12	37.37	135.34	51.10	134.23	44.24	154.55	252.83	559.73	211.01	253.57	554.48					604.25	604.25	3.96	3.92	0	0				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter														227	11:16:27.881	1167615521206394																2		Fixation	330									7	992	804	1085	687	1038	745			125.22	34.87	136.93	49.58	131.07	42.23	154.77	252.88	560.00	211.23	253.52	554.66					604.52	604.52	3.82	3.89	0	0				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter														261	11:16:27.915	1167615521240059																2		Fixation	330									8	1008	848	1036	694	1022	771			127.23	29.32	130.77	48.73	129.00	39.03	155.04	252.95	560.26	211.52	253.59	555.02					604.81	604.81	3.66	3.78	0	0				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter														294	11:16:27.947	1167615521272877																2		Fixation	330									9	995	722	1013	705	1004	713			125.60	45.21	127.82	47.28	126.71	46.25	155.34	253.01	560.51	211.84	253.63	555.32					605.08	605.08	3.69	3.72	0	0				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter														330	11:16:27.984	1167615521309204																2		Fixation	330									10	1000	775	1028	721	1014	748			126.17	38.49	129.77	45.24	127.97	41.87	155.68	253.06	560.78	212.20	253.62	555.65					605.36	605.36	3.65	3.65	0	0				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter														363	11:16:28.016	1167615521341674																2		Fixation	330									11	925	823	1030	736	977	779			116.73	32.39	129.97	43.44	123.35	37.92	155.95	253.06	561.15	212.41	253.49	555.87					605.70	605.70	3.57	3.60	0	0				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter														395	11:16:28.049	1167615521374117																2		Fixation	330									12	947	837	984	750	965	793			119.50	30.62	124.16	41.70	121.83	36.16	156.25	253.03	561.45	212.71	253.46	556.26					605.98	605.98	3.59	3.54	0	0				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter														427	11:16:28.081	1167615521406060																2		Fixation	330									13	985	860	1012	762	998	811			124.23	27.81	127.71	40.07	125.97	33.94	156.52	253.00	561.80	213.03	253.46	556.71					606.30	606.30	3.56	3.57	0	0				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter														459	11:16:28.112	1167615521437790																2		Fixation	330									14	945	822	952	719	948	770			119.18	32.61	120.11	45.52	119.65	39.06	156.80	252.94	562.10	213.32	253.37	557.01					606.56	606.56	3.51	3.49	0	0				
9/25/2014	3.2.2	ISPY	New test	ISPY07	Female	ISPY07	9/25/2014	201727	1920 x 1080	I-VT filter														491	11:16:28.144	1167615521469797																2		Fixation	330									15	928	842	949	734	938	788			117.06	30.04	119.78	43.64	118.42	36.84	157.11	252.86	562.40	213.64	253.23	557.31					606.81	606.81	3.45	3.51	0	0				
